
set Nodes := S B24 N24 W24 F B0 B8 B95 B125 B135 B16 B165 N0 N95 N12 N13 N14 N165 N18 N185 W9 W125 W13 W135 W14 W145 W16;

param nPlanes := 4;

param planeCost := 15000;

param emptyPlaneCost := 5000;

set flightArcs := 
    B8      N95
    B95     N12
    B125    W145
    B135    W16
    B125    N16
    B16     W24
    B165    N18
    N95     B125
    N12     B16
    N13     W16
    N14     B165
    N165    B24
    N18     B24
    N18     W24
    N185    B24
    W9      N12
    W125    N165
    W13     N165
    W135    B16
    W14     N165
    W14     B16
    W145    B24
    W16     B24;
    


set: nonFlightArcs := 
    S       B0
    S       N0
    S       W0
    S       F
    B24     F
    N24     F
    W24     F
    B0      B8
    B8      B95
    B95     B125
    B125    B135
    B135    B24
    N0      N95
    N95     N12
    N12     N13
    N13     N14
    N165    N18
    N18     N185
    N185    N24
    W0      W9
    W9      W125
    W125    W13
    W13     W135
    W135    W14
    W14     W145
    W145    W16
    W16     W24


param: flightNum revenue := 
    B8      N95     1357    2500
    B95     N12     8322    3000
    B125    W145    5903    3900
    B135    W16     1207    2400
    B125    N16     1671    2400
    B16     W24     5671    3500
    B165    N18     7133    2900
    N95     B125    4166    2800
    N12     B16     3842    1300
    N13     W16     1537    1800
    N14     B165    9320    2200
    N165    B24     3042    2800
    N18     B24     3752    3400
    N18     W24     9677    3900
    N185    B24     6212    1500
    W9      N12     6811    1200
    W125    N165    9195    2800
    W13     N165    8350    1300
    W135    B16     9480    1800
    W14     N165    7555    3300
    W14     B16     9041    2800
    W145    B24     7539    1900
    W16     B24     2710    1500;


